,Site,Pol_sp,Plant_sp,Links
332,crobirlee,P_marginata,Cordyline_sp,0
333,crobirlee,A_mellifera,Eucalyptus_globulus,1
334,crobirlee,B_terrestris,Eucalyptus_globulus,1
335,crobirlee,D_platura,Eucalyptus_globulus,1
336,crobirlee,L_sordidum,Eucalyptus_globulus,0
337,crobirlee,M_novae_zelandiae,Eucalyptus_globulus,0
338,crobirlee,P_marginata,Eucalyptus_globulus,0
339,crobirlee,A_mellifera,Eucalyptus_nitens,1
340,crobirlee,B_terrestris,Eucalyptus_nitens,0
341,crobirlee,D_platura,Eucalyptus_nitens,0
342,crobirlee,L_sordidum,Eucalyptus_nitens,0
343,crobirlee,M_novae_zelandiae,Eucalyptus_nitens,0
344,crobirlee,P_marginata,Eucalyptus_nitens,0
345,crobirlee,A_mellifera,Lolium_sp,8
346,crobirlee,B_terrestris,Lolium_sp,0
347,crobirlee,D_platura,Lolium_sp,0
348,crobirlee,L_sordidum,Lolium_sp,0
349,crobirlee,M_novae_zelandiae,Lolium_sp,0
350,crobirlee,P_marginata,Lolium_sp,1
351,crobirlee,A_mellifera,Raphanus_sp,4
352,crobirlee,B_terrestris,Raphanus_sp,0
353,crobirlee,D_platura,Raphanus_sp,1
354,crobirlee,L_sordidum,Raphanus_sp,1
355,crobirlee,M_novae_zelandiae,Raphanus_sp,0
356,crobirlee,P_marginata,Raphanus_sp,0
357,crobirlee,A_mellifera,Rubus_fruticosus,3
358,crobirlee,B_terrestris,Rubus_fruticosus,0
359,crobirlee,D_platura,Rubus_fruticosus,1
360,crobirlee,L_sordidum,Rubus_fruticosus,0
361,crobirlee,M_novae_zelandiae,Rubus_fruticosus,0
362,crobirlee,P_marginata,Rubus_fruticosus,0
363,crobirlee,A_mellifera,Taraxacum_officinale,6
364,crobirlee,B_terrestris,Taraxacum_officinale,0
365,crobirlee,D_platura,Taraxacum_officinale,0
366,crobirlee,L_sordidum,Taraxacum_officinale,1
367,crobirlee,M_novae_zelandiae,Taraxacum_officinale,1
368,crobirlee,P_marginata,Taraxacum_officinale,0
369,crobirlee,A_mellifera,Trifolium_sp,12
370,crobirlee,B_terrestris,Trifolium_sp,0
371,crobirlee,D_platura,Trifolium_sp,4
372,crobirlee,L_sordidum,Trifolium_sp,0
373,crobirlee,M_novae_zelandiae,Trifolium_sp,0
374,crobirlee,P_marginata,Trifolium_sp,0
375,crocfrbir,A_mellifera,Alcea_sp,1
376,crocfrbir,L_sordidum,Alcea_sp,0
377,crocfrbir,A_mellifera,Cirsium_vulgare,1
378,crocfrbir,L_sordidum,Cirsium_vulgare,0
379,crocfrbir,A_mellifera,Lolium_sp,1
380,crocfrbir,L_sordidum,Lolium_sp,1
381,crocfrbir,A_mellifera,Raphanus_sp,0
382,crocfrbir,L_sordidum,Raphanus_sp,2
383,crocfrbir,A_mellifera,Taraxacum_officinale,0
384,crocfrbir,L_sordidum,Taraxacum_officinale,1
385,crocfrbou,B_terrestris,Cirsium_vulgare,1
386,crocfrbou,O_varia,Cirsium_vulgare,0
387,crocfrbou,B_terrestris,Eucalyptus_globulus,1
388,crocfrbou,O_varia,Eucalyptus_globulus,0
389,crocfrbou,B_terrestris,Lolium_sp,0
390,crocfrbou,O_varia,Lolium_sp,1
391,crocfrbou,B_terrestris,Rubus_fruticosus,1
392,crocfrbou,O_varia,Rubus_fruticosus,0
393,crocfrbou,B_terrestris,Taraxacum_officinale,1
394,crocfrbou,O_varia,Taraxacum_officinale,0
395,crocfrbou,B_terrestris,Trifolium_sp,1
396,crocfrbou,O_varia,Trifolium_sp,0
397,cromcctai,A_mellifera,Cirsium_vulgare,1
398,cromcctai,L_sordidum,Cirsium_vulgare,1
399,cromcctai,A_mellifera,Eucalyptus_globulus,2
400,cromcctai,L_sordidum,Eucalyptus_globulus,0
401,cromcctai,A_mellifera,Eucalyptus_nitens,1
402,cromcctai,L_sordidum,Eucalyptus_nitens,0
403,cromcctai,A_mellifera,Lolium_sp,3
404,cromcctai,L_sordidum,Lolium_sp,2
405,cromcctai,A_mellifera,Raphanus_sp,1
406,cromcctai,L_sordidum,Raphanus_sp,1
407,cromcctai,A_mellifera,Taraxacum_officinale,1
408,cromcctai,L_sordidum,Taraxacum_officinale,2
409,cromcctai,A_mellifera,Trifolium_sp,2
410,cromcctai,L_sordidum,Trifolium_sp,2
411,crostelee,A_mellifera,alnus_serrulate,0
412,crostelee,D_platura,alnus_serrulate,1
413,crostelee,L_sordidum,alnus_serrulate,0
414,crostelee,P_marginata,alnus_serrulate,0
415,crostelee,P_pseudorudis,alnus_serrulate,0
416,crostelee,A_mellifera,Cirsium_vulgare,0
417,crostelee,D_platura,Cirsium_vulgare,1
418,crostelee,L_sordidum,Cirsium_vulgare,0
419,crostelee,P_marginata,Cirsium_vulgare,0
420,crostelee,P_pseudorudis,Cirsium_vulgare,0
421,crostelee,A_mellifera,Daucus_carota,1
422,crostelee,D_platura,Daucus_carota,2
423,crostelee,L_sordidum,Daucus_carota,2
424,crostelee,P_marginata,Daucus_carota,1
425,crostelee,P_pseudorudis,Daucus_carota,1
426,crostelee,A_mellifera,Eucalyptus_nitens,3
427,crostelee,D_platura,Eucalyptus_nitens,0
428,crostelee,L_sordidum,Eucalyptus_nitens,1
429,crostelee,P_marginata,Eucalyptus_nitens,0
430,crostelee,P_pseudorudis,Eucalyptus_nitens,0
431,crostelee,A_mellifera,Lolium_sp,0
432,crostelee,D_platura,Lolium_sp,1
433,crostelee,L_sordidum,Lolium_sp,0
434,crostelee,P_marginata,Lolium_sp,0
435,crostelee,P_pseudorudis,Lolium_sp,0
436,crostelee,A_mellifera,Raphanus_sp,1
437,crostelee,D_platura,Raphanus_sp,1
438,crostelee,L_sordidum,Raphanus_sp,0
439,crostelee,P_marginata,Raphanus_sp,0
440,crostelee,P_pseudorudis,Raphanus_sp,0
441,crostelee,A_mellifera,Rubus_fruticosus,1
442,crostelee,D_platura,Rubus_fruticosus,0
443,crostelee,L_sordidum,Rubus_fruticosus,0
444,crostelee,P_marginata,Rubus_fruticosus,0
445,crostelee,P_pseudorudis,Rubus_fruticosus,0
446,crostelee,A_mellifera,Taraxacum_officinale,3
447,crostelee,D_platura,Taraxacum_officinale,1
448,crostelee,L_sordidum,Taraxacum_officinale,2
449,crostelee,P_marginata,Taraxacum_officinale,0
450,crostelee,P_pseudorudis,Taraxacum_officinale,0
451,crostelee,A_mellifera,Trifolium_sp,6
452,crostelee,D_platura,Trifolium_sp,0
453,crostelee,L_sordidum,Trifolium_sp,1
454,crostelee,P_marginata,Trifolium_sp,0
455,crostelee,P_pseudorudis,Trifolium_sp,0
456,crotodtai,A_mellifera,Cirsium_vulgare,1
457,crotodtai,D_platura,Cirsium_vulgare,1
458,crotodtai,L_sordidum,Cirsium_vulgare,1
459,crotodtai,A_mellifera,Cordyline_sp,0
