"","Site","Pol_sp","Plant_sp","Links"
"236",3,"L.sordidum","Raphanus_sp",1
"237",3,"N.producta","Raphanus_sp",1
"238",3,"O.varia","Raphanus_sp",0
"239",3,"P.marginata","Raphanus_sp",0
"240",3,"P.pseudorudis","Raphanus_sp",0
"241",3,"T.orthodoxus","Raphanus_sp",0
"242",3,"A.mellifera","Taraxacum_officinale",10
"243",3,"B.terrestris","Taraxacum_officinale",1
"244",3,"D.platura","Taraxacum_officinale",0
"245",3,"E.tenax","Taraxacum_officinale",0
"246",3,"I.promissorius","Taraxacum_officinale",1
"247",3,"L.sordidum","Taraxacum_officinale",3
"248",3,"N.producta","Taraxacum_officinale",2
"249",3,"O.varia","Taraxacum_officinale",1
"250",3,"P.marginata","Taraxacum_officinale",0
"251",3,"P.pseudorudis","Taraxacum_officinale",0
"252",3,"T.orthodoxus","Taraxacum_officinale",0
"253",3,"A.mellifera","Trifolium_sp",13
"254",3,"B.terrestris","Trifolium_sp",1
"255",3,"D.platura","Trifolium_sp",2
"256",3,"E.tenax","Trifolium_sp",0
"257",3,"I.promissorius","Trifolium_sp",3
"258",3,"L.sordidum","Trifolium_sp",3
"259",3,"N.producta","Trifolium_sp",2
"260",3,"O.varia","Trifolium_sp",0
"261",3,"P.marginata","Trifolium_sp",0
"262",3,"P.pseudorudis","Trifolium_sp",2
"263",3,"T.orthodoxus","Trifolium_sp",0
"264",4,"A.mellifera","Chenopodium_album",0
"265",4,"B.terrestris","Chenopodium_album",0
"266",4,"P.marginata","Chenopodium_album",1
"267",4,"A.mellifera","Eucalyptus_nitens",1
"268",4,"B.terrestris","Eucalyptus_nitens",0
"269",4,"P.marginata","Eucalyptus_nitens",0
"270",4,"A.mellifera","Lolium_sp",0
"271",4,"B.terrestris","Lolium_sp",1
"272",4,"P.marginata","Lolium_sp",0
"273",5,"A.mellifera","Cirsium_vulgare",0
"274",5,"M.novae-zelandiae","Cirsium_vulgare",0
"275",5,"O.atrovirens","Cirsium_vulgare",1
"276",5,"A.mellifera","Cordyline_sp",0
"277",5,"M.novae-zelandiae","Cordyline_sp",1
"278",5,"O.atrovirens","Cordyline_sp",0
"279",5,"A.mellifera","Eucalyptus_nitens",1
"280",5,"M.novae-zelandiae","Eucalyptus_nitens",0
"281",5,"O.atrovirens","Eucalyptus_nitens",0
"282",5,"A.mellifera","Lolium_sp",2
"283",5,"M.novae-zelandiae","Lolium_sp",1
"284",5,"O.atrovirens","Lolium_sp",1
"285",5,"A.mellifera","Taraxacum_officinale",1
"286",5,"M.novae-zelandiae","Taraxacum_officinale",1
"287",5,"O.atrovirens","Taraxacum_officinale",0
"288",5,"A.mellifera","Trifolium_sp",1
"289",5,"M.novae-zelandiae","Trifolium_sp",0
"290",5,"O.atrovirens","Trifolium_sp",0
"291",6,"A.mellifera","Alcea_sp",0
"292",6,"L.sordidum","Alcea_sp",1
"293",6,"O.atrovirens","Alcea_sp",0
"294",6,"A.mellifera","Cirsium_vulgare",1
"295",6,"L.sordidum","Cirsium_vulgare",1
"296",6,"O.atrovirens","Cirsium_vulgare",0
"297",6,"A.mellifera","Daucus_carota",2
"298",6,"L.sordidum","Daucus_carota",2
"299",6,"O.atrovirens","Daucus_carota",1
"300",6,"A.mellifera","Lolium_sp",2
"301",6,"L.sordidum","Lolium_sp",2
"302",6,"O.atrovirens","Lolium_sp",0
"303",6,"A.mellifera","Taraxacum_officinale",1
"304",6,"L.sordidum","Taraxacum_officinale",0
"305",6,"O.atrovirens","Taraxacum_officinale",0
"306",6,"A.mellifera","Trifolium_sp",1
"307",6,"L.sordidum","Trifolium_sp",0
"308",6,"O.atrovirens","Trifolium_sp",1
"309",7,"A.mellifera","alnus_serrulate",0
"310",7,"B.terrestris","alnus_serrulate",0
"311",7,"D.platura","alnus_serrulate",0
"312",7,"L.sordidum","alnus_serrulate",0
"313",7,"M.novae-zelandiae","alnus_serrulate",1
"314",7,"P.marginata","alnus_serrulate",0
"315",7,"A.mellifera","Chenopodium_album",1
"316",7,"B.terrestris","Chenopodium_album",0
"317",7,"D.platura","Chenopodium_album",0
"318",7,"L.sordidum","Chenopodium_album",0
"319",7,"M.novae-zelandiae","Chenopodium_album",0
"320",7,"P.marginata","Chenopodium_album",0
"321",7,"A.mellifera","Cirsium_vulgare",5
"322",7,"B.terrestris","Cirsium_vulgare",0
"323",7,"D.platura","Cirsium_vulgare",0
"324",7,"L.sordidum","Cirsium_vulgare",1
"325",7,"M.novae-zelandiae","Cirsium_vulgare",0
"326",7,"P.marginata","Cirsium_vulgare",0
"327",7,"A.mellifera","Cordyline_sp",0
"328",7,"B.terrestris","Cordyline_sp",1
"329",7,"D.platura","Cordyline_sp",0
"330",7,"L.sordidum","Cordyline_sp",0
"331",7,"M.novae-zelandiae","Cordyline_sp",0
"332",7,"P.marginata","Cordyline_sp",0
"333",7,"A.mellifera","Eucalyptus_globulus",1
"334",7,"B.terrestris","Eucalyptus_globulus",1
"335",7,"D.platura","Eucalyptus_globulus",1
"336",7,"L.sordidum","Eucalyptus_globulus",0
"337",7,"M.novae-zelandiae","Eucalyptus_globulus",0
"338",7,"P.marginata","Eucalyptus_globulus",0
"339",7,"A.mellifera","Eucalyptus_nitens",1
"340",7,"B.terrestris","Eucalyptus_nitens",0
"341",7,"D.platura","Eucalyptus_nitens",0
"342",7,"L.sordidum","Eucalyptus_nitens",0
"343",7,"M.novae-zelandiae","Eucalyptus_nitens",0
"344",7,"P.marginata","Eucalyptus_nitens",0
"345",7,"A.mellifera","Lolium_sp",8
"346",7,"B.terrestris","Lolium_sp",0
"347",7,"D.platura","Lolium_sp",0
"348",7,"L.sordidum","Lolium_sp",0
"349",7,"M.novae-zelandiae","Lolium_sp",0
"350",7,"P.marginata","Lolium_sp",1
"351",7,"A.mellifera","Raphanus_sp",4
"352",7,"B.terrestris","Raphanus_sp",0
"353",7,"D.platura","Raphanus_sp",1
"354",7,"L.sordidum","Raphanus_sp",1
"355",7,"M.novae-zelandiae","Raphanus_sp",0
"356",7,"P.marginata","Raphanus_sp",0
"357",7,"A.mellifera","Rubus_fruticosus",3
"358",7,"B.terrestris","Rubus_fruticosus",0
"359",7,"D.platura","Rubus_fruticosus",1
"360",7,"L.sordidum","Rubus_fruticosus",0
"361",7,"M.novae-zelandiae","Rubus_fruticosus",0
"362",7,"P.marginata","Rubus_fruticosus",0
"363",7,"A.mellifera","Taraxacum_officinale",6
"364",7,"B.terrestris","Taraxacum_officinale",0
"365",7,"D.platura","Taraxacum_officinale",0
"366",7,"L.sordidum","Taraxacum_officinale",1
"367",7,"M.novae-zelandiae","Taraxacum_officinale",1
"368",7,"P.marginata","Taraxacum_officinale",0
"369",7,"A.mellifera","Trifolium_sp",12
"370",7,"B.terrestris","Trifolium_sp",0
"371",7,"D.platura","Trifolium_sp",4
"372",7,"L.sordidum","Trifolium_sp",0
"373",7,"M.novae-zelandiae","Trifolium_sp",0
"374",7,"P.marginata","Trifolium_sp",0
"375",8,"A.mellifera","Alcea_sp",1
"376",8,"L.sordidum","Alcea_sp",0
"377",8,"A.mellifera","Cirsium_vulgare",1
"378",8,"L.sordidum","Cirsium_vulgare",0
"379",8,"A.mellifera","Lolium_sp",1
"380",8,"L.sordidum","Lolium_sp",1
"381",8,"A.mellifera","Raphanus_sp",0
"382",8,"L.sordidum","Raphanus_sp",2
"383",8,"A.mellifera","Taraxacum_officinale",0
"384",8,"L.sordidum","Taraxacum_officinale",1
"385",9,"B.terrestris","Cirsium_vulgare",1
"386",9,"O.varia","Cirsium_vulgare",0
"387",9,"B.terrestris","Eucalyptus_globulus",1
"388",9,"O.varia","Eucalyptus_globulus",0
"389",9,"B.terrestris","Lolium_sp",0
